Practice,Urea,dynamic,ammonia,treatment,days,dynTREATday,Letter,number,LABEL
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,5,un.CT3.5,D,13,D13
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,7,un.CT3.7,D,14,D14
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,14,un.CT3.14,D,15,D15
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,28,un.CT3.28,D,16,D16
Conventional,300 kg N ha-1,un,0 mg N kg-1,CT3,56,un.CT3.56,D,17,D17
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,0,am.PBB0.0,E,1,E1
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,1,am.PBB0.1,E,11,E11
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,3,am.PBB0.3,E,12,E12
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,5,am.PBB0.5,E,13,E13
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,7,am.PBB0.7,E,14,E14
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,14,am.PBB0.14,E,15,E15
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,28,am.PBB0.28,E,16,E16
PB.Burned,0 kg N ha-1,am,200 mg N kg-1,PBB0,56,am.PBB0.56,E,17,E17
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,0,un.PBB0.0,F,1,F1
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,1,un.PBB0.1,F,11,F11
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,3,un.PBB0.3,F,12,F12
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,5,un.PBB0.5,F,13,F13
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,7,un.PBB0.7,F,14,F14
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,14,un.PBB0.14,F,15,F15
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,28,un.PBB0.28,F,16,F16
PB.Burned,0 kg N ha-1,un,0 mg N kg-1,PBB0,56,un.PBB0.56,F,17,F17
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,0,am.PBB3.0,G,1,G1
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,1,am.PBB3.1,G,11,G11
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,3,am.PBB3.3,G,12,G12
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,5,am.PBB3.5,G,13,G13
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,7,am.PBB3.7,G,14,G14
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,14,am.PBB3.14,G,15,G15
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,28,am.PBB3.28,G,16,G16
PB.Burned,300 kg N ha-1,am,200 mg N kg-1,PBB3,56,am.PBB3.56,G,17,G17
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,0,un.PBB3.0,H,1,H1
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,1,un.PBB3.1,H,11,H11
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,3,un.PBB3.3,H,12,H12
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,5,un.PBB3.5,H,13,H13
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,7,un.PBB3.7,H,14,H14
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,14,un.PBB3.14,H,15,H15
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,28,un.PBB3.28,H,16,H16
PB.Burned,300 kg N ha-1,un,0 mg N kg-1,PBB3,56,un.PBB3.56,H,17,H17
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,0,am.PBC0.0,I,1,I1
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,1,am.PBC0.1,I,11,I11
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,3,am.PBC0.3,I,12,I12
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,5,am.PBC0.5,I,13,I13
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,7,am.PBC0.7,I,14,I14
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,14,am.PBC0.14,I,15,I15
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,28,am.PBC0.28,I,16,I16
PB.Chopped,0 kg N ha-1,am,200 mg N kg-1,PBC0,56,am.PBC0.56,I,17,I17
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,0,un.PBC0.0,J,1,J1
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,1,un.PBC0.1,J,11,J11
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,3,un.PBC0.3,J,12,J12
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,5,un.PBC0.5,J,13,J13
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,7,un.PBC0.7,J,14,J14
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,14,un.PBC0.14,J,15,J15
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,28,un.PBC0.28,J,16,J16
PB.Chopped,0 kg N ha-1,un,0 mg N kg-1,PBC0,56,un.PBC0.56,J,17,J17
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,0,am.PBC3.0,K,1,K1
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,1,am.PBC3.1,K,11,K11
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,3,am.PBC3.3,K,12,K12
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,5,am.PBC3.5,K,13,K13
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,7,am.PBC3.7,K,14,K14
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,14,am.PBC3.14,K,15,K15
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,28,am.PBC3.28,K,16,K16
PB.Chopped,300 kg N ha-1,am,200 mg N kg-1,PBC3,56,am.PBC3.56,K,17,K17
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,0,un.PBC3.0,L,1,L1
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,1,un.PBC3.1,L,11,L11
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,3,un.PBC3.3,L,12,L12
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,5,un.PBC3.5,L,13,L13
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,7,un.PBC3.7,L,14,L14
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,14,un.PBC3.14,L,15,L15
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,28,un.PBC3.28,L,16,L16
PB.Chopped,300 kg N ha-1,un,0 mg N kg-1,PBC3,56,un.PBC3.56,L,17,L17
